seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Glenn,Price,32,Jehez Point,Lorkempu,ME,73636,$3960.05,RED,08/09/1942
2,Leonard,Knight,43,Rafi Grove,Vucimaira,NV,29878,$7137.31,BLUE,03/26/1988
3,Minnie,Holt,33,Wufes Heights,Enookuaj,KS,14943,$7203.43,BLUE,11/24/1997
4,Pearl,Berry,44,Budpiz Street,Cacudu,OK,66663,$7124.20,YELLOW,03/21/1955
5,Rebecca,Hines,26,Dewsot Street,Ronvohu,IL,37326,$5536.59,GREEN,06/01/2000
6,Edward,Morrison,56,Toece Turnpike,Fewhofze,NM,58614,$5365.20,BLUE,05/19/2025
7,Ruth,Rios,35,Oferal Parkway,Kapoda,WV,74820,$5175.32,YELLOW,11/03/1914
8,Mitchell,Lawrence,35,Kicog Square,Talulzo,OR,31876,$4152.10,WHITE,06/21/2024
9,Sylvia,Nguyen,43,Fipiv Grove,Lelnatvu,LA,53000,$750.02,WHITE,08/01/1984
10,Carl,Sanders,28,Omavi Court,Tahvahde,KY,98277,$8401.29,YELLOW,04/12/2015
11,Emma,Lee,55,Boje Manor,Dibvafpa,ND,96619,$9558.02,GREEN,11/07/1987
12,Ricky,Johnson,31,Babu Key,Obegecbor,TN,82452,$9734.40,RED,10/17/1973
13,Rhoda,Ramsey,27,Kufmo Pike,Vurnivce,NH,56923,$7864.00,BLUE,07/31/2062
14,Lilly,Little,30,Wipsen Junction,Berfoom,ID,19150,$3655.88,RED,06/23/2035
15,Jean,Joseph,33,Rasim Manor,Tagjieta,SD,02851,$7131.40,GREEN,02/15/2019
16,John,Erickson,32,Paffu Mill,Sistidu,SD,42267,$6341.56,RED,01/21/1974
17,Nathan,Reed,46,Cipvit Pike,Enofva,MO,82300,$2227.77,GREEN,10/07/2011
18,Eddie,Robertson,26,Mode Avenue,Taunigu,NJ,90249,$3848.60,BLUE,06/25/1912
19,Beulah,Rios,19,Todo Grove,Zorojmu,SC,64972,$8055.39,GREEN,07/22/2049
20,Mark,Briggs,45,Ginab Point,Supufpad,WI,31901,$2548.54,GREEN,03/28/1935
21,Evelyn,Terry,21,Jicre Extension,Detdubow,SD,42721,$9509.92,BLUE,01/21/2052
22,Theodore,Valdez,47,Woeju Way,Rumagram,NH,65668,$6455.89,WHITE,06/19/2050
23,Rachel,Bowers,61,Bamu Circle,Licujazed,VA,14820,$6245.38,BLUE,11/27/1943
24,Abbie,Flores,29,Gazlu Road,Cicuid,VA,82212,$8956.18,RED,01/23/2044
25,Ida,Ball,40,Pomjo Trail,Okawohof,WV,79841,$6806.41,GREEN,10/21/2002
26,Marc,Manning,40,Kunwaf Pass,Cumohob,MN,51575,$5461.85,YELLOW,10/04/2009
27,May,Young,38,Gewtup Street,Wuklitfo,HI,16846,$4239.87,YELLOW,01/05/1927
28,Kenneth,Perez,37,Vigic Point,Dassecmov,CO,24527,$2042.91,YELLOW,10/17/1957
29,Oscar,Flores,64,Jehla Street,Rohfivge,IL,99960,$3293.78,WHITE,10/09/1993
30,Gabriel,Day,23,Cahhu Boulevard,Pudade,WA,79541,$8403.05,BLUE,04/30/2051
31,Janie,Butler,55,Jeve Mill,Ihumoebo,TX,76090,$1248.30,WHITE,05/01/1908
32,Rosa,Wong,54,Ulse Pass,Hatsili,KY,28118,$1231.62,YELLOW,09/23/1993
33,Jessie,Sparks,43,Wezuf Manor,Diutoroh,WV,52014,$8591.75,WHITE,07/01/2001
34,Robert,Wilson,36,Juroj Grove,Mulezzi,ND,87506,$1810.39,RED,02/08/1930
35,Alice,Hudson,18,Sezon Place,Isezirsi,GA,60955,$9461.25,RED,12/20/1956
36,Douglas,Garner,45,Okpam Loop,Pozwico,MD,24277,$2833.34,RED,07/13/2018
37,Sylvia,Estrada,60,Ulohe Grove,Kicafdit,KS,74206,$8956.35,YELLOW,04/28/1927
38,Devin,Greer,50,Lemtuj Circle,Rofulli,WA,38383,$9604.26,BLUE,07/04/1988
39,Minnie,Russell,35,Cipfu Trail,Kodunan,LA,70238,$3799.67,YELLOW,10/23/1937
40,Milton,Bryant,54,Envah Grove,Govorte,GA,77205,$7897.55,RED,06/30/1956
41,Edith,Pratt,35,Muej Park,Antafunu,IA,17014,$5643.23,GREEN,01/11/1967
42,Austin,Garcia,49,Rosvod Court,Dizvupza,TX,83728,$3837.22,GREEN,04/16/1937
43,Bruce,Carroll,42,Gowtoj Highway,Totkewam,NC,15128,$7226.32,WHITE,08/29/1955
44,Allen,Gutierrez,57,Nesuj Place,Hefjovpef,OH,93810,$9370.40,RED,05/12/1933
45,Elijah,Nguyen,21,Nehho Drive,Lugwael,KY,18605,$6933.55,YELLOW,09/26/2068
46,Jared,Murphy,28,Ewuh Pass,Onjahag,FL,51207,$7513.21,YELLOW,11/02/1907
47,Mitchell,Ryan,64,Hoet Place,Dezado,FL,63764,$4755.90,GREEN,07/15/1931
48,Earl,Hudson,55,Vitteb Heights,Muihage,NC,08605,$1276.49,BLUE,07/22/1908
49,Virginia,Jackson,61,Hukmag Terrace,Fusikfos,IL,91493,$9317.65,GREEN,09/19/2069
50,Elnora,Castillo,63,Weji Extension,Mazpijun,MN,19409,$1937.07,WHITE,03/07/1973
51,Todd,Schwartz,30,Idaafo Center,Ipnidig,WA,37191,$4112.39,GREEN,02/22/2058
52,Vernon,Evans,34,Kimje Center,Sejitzi,GA,78807,$7849.03,BLUE,07/13/2056
53,Max,Harvey,27,Vele Highway,Nametson,OK,56367,$1282.16,WHITE,08/27/2018
54,Sarah,Chapman,43,Itkun Ridge,Zetkili,HI,28269,$1946.95,YELLOW,11/24/1909
55,Eleanor,Hall,54,Socuh Pike,Fehhemva,PA,42972,$2837.47,GREEN,01/30/2020
56,Ella,Patterson,38,Nojoz Glen,Datarale,MA,16375,$1085.68,RED,01/07/1919
57,Eunice,Moore,45,Ganhev Lane,Gomozede,TX,68627,$6452.32,WHITE,10/01/1914
58,Lulu,Freeman,60,Wobub Pike,Lueprom,NY,51889,$8851.69,BLUE,07/25/2035
59,Vernon,Webster,33,Aviwew View,Obisunlop,NE,52792,$1918.30,YELLOW,11/13/1979
60,Susie,Kennedy,56,Pekob Highway,Illalom,DC,49120,$1451.35,BLUE,11/25/1921
61,Jared,Long,21,Pansod Center,Wokbesa,CA,63838,$3789.88,RED,12/25/2008
62,Francis,Thornton,26,Tudwu Extension,Ozwuke,CT,08349,$5442.69,YELLOW,10/13/2041
63,Zachary,Tate,55,Unule Pass,Cuesati,AR,91865,$8964.57,WHITE,10/18/2016
64,Blanche,Guerrero,31,Nizjep Ridge,Nevisrik,CO,06159,$7714.10,GREEN,08/12/2049
